bug_id,pr_number,title,author,created,closed,labels
8342640,26968,8342640: GenShen: Silently ignoring ShenandoahGCHeuristics considered poor user-experience,rgithubli,2025-08-27,2025-08-28,integrated|hotspot-gc|shenandoah
8150564,26969,8150564: Migrate useful ExtendedRobot methods into awt.Robot,DamonGuy,2025-08-27,2025-11-17,integrated|client
8294035,26972,8294035: Remove null ids checking from keytool -gencrl,haimaychao,2025-08-27,2025-08-28,integrated|security
8366261,26973,8366261: Provide utility methods for sun.security.util.Password,naotoj,2025-08-27,2025-09-09,integrated|core-libs|security
8363858,26974,8363858: [perf] OptimizeFill may use wide set of intrinsics,IvaVladimir,2025-08-27,2025-09-04,integrated|hotspot
8345810,26978,8345810: Custom launchers must be linked with pthread to avoid dynamic linker issues,shipilev,2025-08-28,2025-09-01,integrated|build|core-libs
8366298,26979,8366298: FDLeakTest sometimes takes minutes to complete on Linux,stefank,2025-08-28,2025-09-03,integrated|core-libs
8366331,26980,8366331: Sort share/prims includes,fandreuz,2025-08-28,2025-09-01,integrated|serviceability|hotspot
8366238,26981,8366238: Improve RBTree API with stricter comparator semantics and pluggable validation/printing hooks,caspernorrbin,2025-08-28,2025-09-04,integrated|hotspot-runtime|hotspot
8366278,26982,8366278: Form control element <select> has no associated label,psoujany,2025-08-28,2025-09-11,integrated|javadoc
8366062,26983,8366062: [ubsan] add non-zero offset to nullptr in cds/archiveBuilder.cpp,afshin-zafari,2025-08-28,2025-11-03,integrated|hotspot-runtime
8366341,26984,8366341: [BACKOUT] JDK-8365256: RelocIterator should use indexes instead of pointers,johan-sjolen,2025-08-28,2025-08-28,integrated|hotspot-compiler
8366342,26985,"8366342: Key generator and key pair generator tests skipping, but showing as passed",myankelev,2025-08-28,2025-09-11,integrated|security
8366357,26987,8366357: C2 SuperWord: refactor VTransformNode::apply with VTransformApplyState,eme64,2025-08-28,2025-09-01,integrated|hotspot-compiler
8366359,26988,8366359: Test should throw SkippedException when there is no lpstat,sendaoYan,2025-08-28,2025-08-30,integrated|client
8362516,26989,8362516: Support of GCC static analyzer (-fanalyzer),MBaesken,2025-08-28,2025-09-01,integrated|build
8366017,26990,8366017: Extend the set of inputs handled by fast paths in FloatingDecimal,rgiulietti,2025-08-28,2025-11-03,integrated|core-libs
8366361,26991,"8366361: C2 SuperWord: rename VTransformNode::set_req -> init_req, analogue to Node::init_req",eme64,2025-08-28,2025-09-01,integrated|hotspot-compiler
8366365,26992,8366365: [test] test/lib-test/jdk/test/whitebox/CPUInfoTest.java should be updated,IvaVladimir,2025-08-28,2025-09-04,integrated|jdk
8366264,26993,8366264: tools/javac/launcher/SourceLauncherStackTraceTest.java does not cover the scenario for 8362237,liach,2025-08-28,2025-08-30,integrated|compiler
8366208,26994,8366208: Unexpected exception in sun.java2d.cmm.lcms.LCMSImageLayout,mrserb,2025-08-28,2025-08-30,integrated|client
8366369,26995,8366369: Add @requires linux for GTK L&F tests,aivanov-jdk,2025-08-28,2025-09-22,integrated|client
8365175,26996,8365175: Replace Unicode extension anchor elements with link tag,justin-curtis-lu,2025-08-28,2025-09-02,integrated|core-libs|i18n
8354348,26997,8354348: Enable Extended EVEX to REX2/REX demotion for commutative operations with same dst and src2,vamsi-parasa,2025-08-28,2025-09-16,integrated|hotspot-compiler
8366399,26998,8366399: Allow custom base reference for update_copyright_year.sh,liach,2025-08-28,2025-08-29,integrated|build
8364936,26999,8364936: Shenandoah: Switch nmethod entry barriers to conc_instruction_and_data_patch,JohnTortugo,2025-08-29,2025-09-08,integrated|hotspot|shenandoah|graal
8365791,27000,8365791: IGV: Update build dependencies,robcasloz,2025-08-29,2025-09-01,integrated|hotspot-compiler
8366420,27001,8366420: AOTMapTest fails when default jsa is missing from JDK,MBaesken,2025-08-29,2025-09-04,integrated|hotspot-runtime
8366427,27002,8366427: C2 SuperWord: refactor VTransform scalar nodes,eme64,2025-08-29,2025-09-01,integrated|hotspot-compiler
8366363,27003,8366363: MemBaseline accesses VMT without using lock,johan-sjolen,2025-08-29,2025-09-09,integrated|hotspot-runtime|hotspot
8372307,27004,8372307: Clean up the leftover code comment references to file.encoding in java_props_md.c,hextriclosan,2025-08-29,2025-11-21,integrated|core-libs
8366102,27006,8366102: Clarification Needed: Symbolic Link Handling in File API Specifications,bplb,2025-08-29,2025-09-04,integrated|core-libs
8366375,27007,8366375: Collator example for SECONDARY uses wrong code point,naotoj,2025-08-29,2025-09-02,integrated|core-libs
8366401,27008,8366401: JCK test api/java_text/DecimalFormatSymbols/serial/InputTests.html fails after JDK-8363972,justin-curtis-lu,2025-08-29,2025-09-03,integrated|core-libs|i18n
8366455,27009,8366455: Move VarHandles.GuardMethodGenerator to execute on build,liach,2025-08-29,2025-09-05,integrated|build|core-libs
8365428,27010,8365428: Unclear comments on java.lang.invoke Holder classes,liach,2025-08-29,2025-09-05,integrated|core-libs
8366456,27011,8366456: Allow AllocFailStrategy for RBTree,johan-sjolen,2025-08-29,2025-09-01,integrated|hotspot
8361593,27012,8361593: Commented dead code in JDK-8342868 can be removed,fandreuz,2025-08-29,2025-08-31,integrated|core-libs|net|i18n
8366400,27014,8366400: JCK test api/java_text/DecimalFormat/Parse.html fails after JDK-8363972,justin-curtis-lu,2025-08-29,2025-09-03,integrated|core-libs|i18n
8365676,27015,8365676: javac incorrectly allows calling interface static method via type variable,liach,2025-08-30,2025-09-10,integrated|compiler
8366474,27016,8366474: Rename MetaspaceObj::is_shared() to MetaspaceObj::in_aot_cache(),iklam,2025-08-30,2025-09-04,integrated|serviceability|hotspot
8366475,27017,8366475: Rename MetaspaceShared class to AOTMetaspace,iklam,2025-08-30,2025-09-04,integrated|serviceability|hotspot
8366477,27018,8366477: Refactor AOT-related flag bits in klass.hpp,iklam,2025-08-30,2025-09-05,integrated|hotspot
8366476,27019,8366476: Test gc/z/TestSmallHeap.java fails OOM with many NUMA nodes,sendaoYan,2025-08-30,2025-09-03,integrated|hotspot-gc
8357188,27020,8357188: Remove the field MemAllocator::Allocation::_overhead_limit_exceeded and the related code,lgxbslgx,2025-08-30,2025-09-05,integrated|hotspot-gc|shenandoah
8366195,27021,8366195: Remove unnecessary quotes around -Ta ml64 assembler argument,swesonga,2025-08-30,2025-09-02,integrated|build
8366483,27022,8366483: ShowRegistersOnAssertTest uses wrong register pattern string for Windows on AArch64,swesonga,2025-08-31,2025-09-02,integrated|hotspot-runtime
8366462,27023,8366462: Test gc/z/TestCommitFailure.java#Normal failed: expected output missing,xmas92,2025-08-31,2025-09-01,integrated|hotspot-gc
8366498,27026,8366498: Simplify ClassFileParser::parse_super_class,iklam,2025-09-01,2025-09-04,integrated|hotspot-runtime
8354871,27029,8354871: Replace stack map frame type magics with constants,fandreuz,2025-09-01,2025-09-07,integrated|core-libs
8366441,27030,8366441: AArch64: Support WFET in OnSpinWait,ruben-arm,2025-09-01,2026-03-31,integrated|hotspot
8366543,27031,8366543: Clean up include headers in numberSeq,albertnetymk,2025-09-01,2025-09-03,integrated|hotspot-gc
8366544,27032,8366544: Parallel: Inline PSParallelCompact::invoke_no_policy,albertnetymk,2025-09-01,2025-09-02,integrated|hotspot-gc
8366154,27033,8366154: Validate thread type requirements in debug commands,krk,2025-09-01,2025-09-10,integrated|hotspot
8366556,27034,8366556: Sort share/runtime includes,fandreuz,2025-09-01,2025-09-02,integrated|hotspot
8366038,27035,8366038: Thread::SpinRelease should use Atomic::release_store,toxaart,2025-09-01,2025-09-04,integrated|hotspot-runtime
8366558,27036,8366558: Gtests leave /tmp/cgroups-test* files,ArnoZeller,2025-09-01,2025-09-04,integrated|hotspot-runtime
8366584,27037,8366584: Add an InstanceKlass::super() method that returns InstanceKlass*,iklam,2025-09-02,2025-09-04,integrated|serviceability|hotspot
8366658,27038,8366658: Add missing locks when accessing the VirtualMemoryTracker instance in tests and MemMapPrinter,johan-sjolen,2025-09-02,2025-09-15,integrated|hotspot-runtime
8347277,27039,8347277: java/awt/Focus/ComponentLostFocusTest.java fails intermittently,manukumarvs,2025-09-02,2025-09-05,integrated|client
8366659,27040,8366659: ObjectMonitor::wait() liveness problem with a suspension request,toxaart,2025-09-02,2026-02-02,integrated|serviceability|hotspot-runtime
