bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,87,Replace 'HEY!' comments with TODO and remove unnecessary usages,earthling-amzn,2021-10-12,2021-10-14,integrated,Amazon,US,2,kdnilsen
,88,Preempt old preparation,kdnilsen,2021-10-12,2021-10-13,integrated,Amazon,US,1,earthling-amzn
,89,Do not coalesce dead objects in global cycle if GC was cancelled,earthling-amzn,2021-10-14,2021-10-14,integrated,Amazon,US,0,kdnilsen
,90,Reset coalesce and fill boundary during global collect,earthling-amzn,2021-10-14,2021-10-15,integrated,Amazon,US,1,kdnilsen
,91,Degenerate to young cycles for out of cycle allocation failures,earthling-amzn,2021-10-18,2021-10-19,integrated,Amazon,US,1,kdnilsen
,92,Initialize promotion failed member to false,earthling-amzn,2021-10-19,2021-10-19,integrated,Amazon,US,0,kdnilsen
,93,Enforce maximum capacity of young generation when allocating,earthling-amzn,2021-10-21,2021-10-21,integrated,Amazon,US,0,kdnilsen
,94,Make region sampling aware of full collections,earthling-amzn,2021-10-21,2021-10-21,integrated,Amazon,US,0,kdnilsen
,95,Align plabs on card boundaries,kdnilsen,2021-10-27,2021-10-27,integrated,Amazon,US,0,earthling-amzn
,96,Fix preempt old preparation,kdnilsen,2021-10-29,2021-11-01,integrated,Amazon,US,3,earthling-amzn
,97,Padding used for alignment must fit an object,earthling-amzn,2021-11-10,2021-11-10,integrated,Amazon,US,0,"kdnilsen,rkennke"
,98,Remove assert that plab allocation must succeed,earthling-amzn,2021-11-11,2021-11-16,integrated,Amazon,US,5,kdnilsen
,99,Clear young generation reference to old mark queues when starting global collect,earthling-amzn,2021-11-18,2021-11-18,integrated,Amazon,US,0,rkennke
,100,Split Generational Shenandoah memory pools,alvdavi,2021-11-24,2021-11-29,integrated,,,5,rkennke
,101,Add missing override keyword to fix MacOS (clang) builds,earthling-amzn,2021-11-29,2021-11-30,integrated,Amazon,US,1,kdnilsen
,103,Only verify last object start for marked objects,earthling-amzn,2021-12-03,2021-12-06,integrated,Amazon,US,3,kdnilsen
,104,Reset top bitmap when region is immediately made into trash,earthling-amzn,2022-01-11,2022-01-12,integrated,Amazon,US,1,kdnilsen
,105,Degenerate to marking phase if cancellation detected after final mark,earthling-amzn,2022-01-27,2022-01-27,integrated,Amazon,US,0,rkennke
,106,Update card table when cycle degenerates during root scan,earthling-amzn,2022-01-27,2022-01-27,integrated,Amazon,US,0,kdnilsen
,107,Simplify crossing map implementation,kdnilsen,2022-02-01,2022-02-01,integrated,Amazon,US,0,earthling-amzn
,108,Coalesce and fill objects immediately after final mark,earthling-amzn,2022-02-01,2022-02-01,integrated,Amazon,US,0,kdnilsen
,109,Improve handling of cancellation after final mark,earthling-amzn,2022-02-03,2022-02-04,integrated,Amazon,US,1,kdnilsen
,110,Borrow from old gen,kdnilsen,2022-02-04,2022-02-08,integrated,Amazon,US,4,earthling-amzn
,111,Coalesce and fill dead objects after class unloading,earthling-amzn,2022-02-08,2022-02-08,integrated,Amazon,US,0,kdnilsen
,112,Fix two errors in recent commit,kdnilsen,2022-02-08,2022-02-08,integrated,Amazon,US,0,earthling-amzn
,113,"Use active generation, rather than young exclusively when preparing for update refs",earthling-amzn,2022-02-09,2022-02-09,integrated,Amazon,US,0,kdnilsen
,114,Fixes for running in non-generational modes,earthling-amzn,2022-02-10,2022-02-10,integrated,Amazon,US,0,kdnilsen
,115,Merge openjdk/jdk:master,earthling-amzn,2022-02-14,2022-02-15,integrated,Amazon,US,1,rkennke
,116,Coalesce dead objects in pinned old regions during full gc,earthling-amzn,2022-02-21,2022-02-22,integrated,Amazon,US,1,kdnilsen
