bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,changed_files,additions,deletions
,62,"rename variables, etc. from ...value... to ...inline...",hseigel,2020-06-04,2020-06-04,integrated,Oracle,CA,0,14,199,203
,63,Merge jdk,MrSimms,2020-06-04,2020-06-04,integrated,Oracle,,0,4033,20256,751084
,64,Rename value type -XX options to inline...,hseigel,2020-06-05,2020-06-05,integrated,Oracle,CA,0,60,269,269
,65,Merge jdk,MrSimms,2020-06-08,2020-06-08,integrated,Oracle,,0,1480,22322,17329
82467538,66,82467538: [lworld] Merge of jdk-15+21 broke JVMCI testing,MrSimms,2020-06-08,2020-06-08,integrated,Oracle,,0,1,1,1
,67,Merge jdk,MrSimms,2020-06-08,2020-06-08,integrated,Oracle,,0,1176,17278,35684
,68,Post-merge adjustment in DirectMethodHandle,mlchung,2020-06-09,2020-06-09,integrated,Oracle,US,0,2,29,47
,69,Merge jdk,MrSimms,2020-06-09,2020-06-09,integrated,Oracle,,0,301,5829,2746
,70,Merge jdk,MrSimms,2020-06-09,2020-06-10,integrated,Oracle,,1,741,20964,16003
8246603,71,8246603: [lworld] C2 does not scalarize inline types wrapped into non-escaping box objects,TobiHartmann,2020-06-09,2020-06-12,integrated,Oracle,DE,3,19,718,158
,72,[lworld] Incorrect renaming of ValueFieldMaxFlat size in compiler tests,TobiHartmann,2020-06-10,2020-06-10,integrated,Oracle,DE,0,1,6,6
8247309,73,8247309: [lworld] C1 crashes when compiling _defaultvalue referencing unresolved inline type,TobiHartmann,2020-06-10,2020-06-10,integrated,Oracle,DE,0,2,45,1
,74,Merge jdk,MrSimms,2020-06-10,2020-06-10,integrated,Oracle,,0,2241,65465,199273
8247238,75,8247238: [lworld] JIT should trust final fields in inline type buffers,TobiHartmann,2020-06-10,2020-06-10,integrated,Oracle,DE,0,3,13,3
,76,Merge jdk,MrSimms,2020-06-10,2020-06-10,integrated,Oracle,,0,922,18706,12643
8247357,77,8247357: Flattenable field concept needs some cleanup,fparain,2020-06-10,2020-06-12,integrated,Oracle,,2,49,386,422
,78,Merge jdk,MrSimms,2020-06-11,2020-06-11,integrated,Oracle,,0,1870,38543,18265
,79,add WhiteBox support to fix failing test,hseigel,2020-06-12,2020-06-12,integrated,Oracle,CA,0,1,5,3
8247578,80,8247578: [lworld] New inlined JVM internal field access constant in java.base,MrSimms,2020-06-15,2020-06-15,integrated,Oracle,,0,3,4,4
8247567,81,8247567: [lworld] java.lang.AssertionError: Invalid pool entry,sadayapalam,2020-06-15,2020-06-15,integrated,Oracle,,0,2,58,5
8247590,82,8247590: [lworld] JVM_ACC_FIELD_INLINED clashes with ENUM,MrSimms,2020-06-15,2020-06-15,integrated,Oracle,,0,4,4,4
,83,"rename verifier related value-types, rename JVM_SIGNATURE_VALUETYPE, …",hseigel,2020-06-15,2020-06-16,integrated,Oracle,CA,1,29,161,161
8247664,84,8247664: [lworld] Bogus error message: incompatible types while using separate compilation,sadayapalam,2020-06-16,2020-06-16,integrated,Oracle,,0,3,115,1
8244561,85,8244561: [lworld] Javac should not allow instantiation of V.ref or V.val,sadayapalam,2020-06-16,2020-06-16,integrated,Oracle,,0,5,61,1
8247686,86,8247686: [lworld] C2 compilation fails with assert(!is_default(*igvn)) failed: default value type allocation,TobiHartmann,2020-06-16,2020-06-17,integrated,Oracle,DE,1,3,32,30
8247746,87,8247746: [lworld] TestNullableArray::test78 fails with ZGC due to incorrect result,TobiHartmann,2020-06-17,2020-06-17,integrated,Oracle,DE,0,1,1,2
,88,Merge jdk,MrSimms,2020-06-17,2020-06-17,integrated,Oracle,,0,181,3580,987
,89,"Rename klass->is_value() to is_inline_klass(), rename oop->is_value t…",hseigel,2020-06-17,2020-06-17,integrated,Oracle,CA,0,44,129,129
,90,Merge jdk,MrSimms,2020-06-18,2020-06-18,integrated,Oracle,,0,260,3205,1832
,92,LW3 version string,MrSimms,2020-06-18,2020-06-18,integrated,Oracle,,0,2,2,2
,93,[lworld] small reflection implementation clean up,mlchung,2020-06-18,2020-06-18,integrated,Oracle,US,0,7,55,96
8247795,94,JDK-8247795 allow factory methods for inline types to return j.l.Obje…,hseigel,2020-06-19,2020-06-23,integrated,Oracle,CA,4,7,338,7
8248003,95,8248003: [lworld] [lw3] VM crashes when classes with inline type fields are loaded from CDS archive,fparain,2020-06-22,2020-06-24,integrated,Oracle,,2,26,322,59
8248167,96,8248167: [lworld] [lw3] JdbInlineTypesTest fails,fparain,2020-06-23,2020-06-23,integrated,Oracle,,0,1,2,1
8247923,97,8247923: [lworld] Empty inline types break calling convention optimization,TobiHartmann,2020-06-24,2020-06-24,integrated,Oracle,DE,0,10,141,24
,98,[lworld] temporary fix to serviceability HiddenClassSigTest test until JDK-8247491 fixes it properly,mlchung,2020-06-24,2020-06-24,integrated,Oracle,US,0,1,1,1
,99,changes based on late comments concerning 8247795 fix,hseigel,2020-06-24,2020-06-24,integrated,Oracle,CA,0,4,17,18
8248330,100,8248330: [lworld] [lw3] test/hotspot/jtreg/vmTestbase/nsk/jvmti/GetImplementedInterfaces/getintrf007/TestDescription.java fails because of IdentityObject,fparain,2020-06-25,2020-06-25,integrated,Oracle,,0,2,11,6
,101,8248251 don't all java.lang.IdentityObject to be redefined or retrans…,hseigel,2020-06-25,2020-06-25,integrated,Oracle,CA,0,2,10,1
8247663,102,JDK-8247663: [lworld] LambdaMetaFactory should allow an inline value projection type to convert to its reference projection type ,mlchung,2020-07-01,2020-07-08,integrated,Oracle,US,7,7,298,17
8248662,103,8248662: [lworld][lw3] vmTestbase/nsk/jdwp/ReferenceType/Interfaces/interfaces001/TestDescription.java fails after 8245216,fparain,2020-07-01,2020-07-01,integrated,Oracle,,0,1,1,2
8248163,104,"8248163: jdb crashes when invoking ""lock"" command on inline class",fparain,2020-07-02,2020-07-02,integrated,Oracle,,0,6,322,5
8242402,105,8242402: multianewarray is missing checks on the bottom class,fparain,2020-07-06,2020-07-07,integrated,Oracle,,1,5,268,0
8249091,106,8249091: [asm] Updates to ASM to support inline opcodes default and withfield,RogerRiggs,2020-07-08,2020-07-08,integrated,Oracle,US,0,2,9,2
8249244,107,JDK-8249244 Rename T_VALUETYPE to T_INLINE_TYPE,hseigel,2020-07-13,2020-07-13,integrated,Oracle,CA,0,86,287,287
8249396,108,8249396: JNI function IsSameObject should apply the substitutability test for inline types,fparain,2020-07-14,2020-07-15,integrated,Oracle,,1,4,154,6
,109,8249257 Rename ValueKlass to InlineKlass,hseigel,2020-07-15,2020-07-15,integrated,Oracle,CA,0,78,373,377
8249613,110,8249613: [lworld] Use initialization free allocation when copying a value,fparain,2020-07-16,2020-07-16,integrated,Oracle,,0,4,4,4
,112,8249660 TestJNIArrays.java fails when run with -Xcheck:jni,hseigel,2020-07-17,2020-07-17,integrated,Oracle,CA,0,1,5,5
,113,More renaming from value type to inline type,fparain,2020-07-20,2020-07-20,integrated,Oracle,,0,9,57,57
8234364,114,JDK-8234364:  [lworld] ValueBootstrapMethods::isSubstitutable0 should do null check and type check,mlchung,2020-07-21,2020-07-22,integrated,Oracle,US,1,2,118,7
,115,jdk-8249555 Rename valueArray* source files to flatArray*,hseigel,2020-07-21,2020-07-22,integrated,Oracle,CA,1,61,343,344
8249869,116,8249869: [lworld] Remove LW2 specific code from the JIT,TobiHartmann,2020-07-22,2020-07-23,integrated,Oracle,DE,1,37,170,347
,117,Remove unused type,fparain,2020-07-22,2020-07-22,integrated,Oracle,,0,1,0,6
8220710,118,8220710: [lworld] Improve propagation of nullability information,TobiHartmann,2020-07-23,2020-07-23,integrated,Oracle,DE,0,2,64,0
8249886,119,8249886: Rename -XX: InlineArrayElemMaxFlat* options,hseigel,2020-07-23,2020-07-24,integrated,Oracle,CA,1,21,57,57
,120,rename load_value_type_fields_in_regs and store_value_type_fields_to_buf,hseigel,2020-07-27,2020-07-27,integrated,Oracle,CA,0,19,47,47
8250664,121,8250664: [lworld] Rename 'value type' to 'inline type',TobiHartmann,2020-07-28,2020-07-28,integrated,Oracle,DE,0,199,2517,2533
,122,rename valhalla runtime tests to 'inline',hseigel,2020-07-29,2020-07-30,integrated,Oracle,CA,1,84,770,770
8244315,123,JDK-8244315 [lworld] The hierarchy between V$ref and V$val must be sealed,JimLaskey,2020-07-29,2020-08-04,integrated,Oracle,CA,6,2,51,1
8244314,124,JDK-8244314 [lworld] V.ref and V.val are supposed to be nest mates,JimLaskey,2020-07-29,2020-08-04,integrated,Oracle,CA,6,2,83,13
8250823,125,8250823: [lworld] Various cleanups and small fixes in JIT code,TobiHartmann,2020-07-30,2020-07-30,integrated,Oracle,DE,0,35,137,135
8250877,126,8250877: [lworld] Remove special acmp handling for isSubstitutable0 method in the JIT,TobiHartmann,2020-07-31,2020-08-05,integrated,Oracle,DE,5,2,3,10
8250881,127,8250881: [lworld] Crash in AOT code with -XX:-EnableValhalla,TobiHartmann,2020-07-31,2020-07-31,integrated,Oracle,DE,0,1,3,3
8250234,128,8250234: [lworld] [lw3] jdk/valhalla/valuetypes/SubstitutabilityTest.java fails with C1,fparain,2020-07-31,2020-08-03,integrated,Oracle,,3,4,18,6
8222784,129,8222784: [lworld] Remove stale compiler option: -XDallowGenericsOverValues,sadayapalam,2020-08-03,2020-08-03,integrated,Oracle,,0,3,52,2
8250951,130,8250951: [lworld] Escape analysis fails due to oop access to flat array,TobiHartmann,2020-08-03,2020-08-03,integrated,Oracle,DE,0,1,11,9
8250997,131,8250997: [lworld] Javac should not allow constructor reference expression to mention projection types,sadayapalam,2020-08-04,2020-08-04,integrated,Oracle,,0,3,27,9
8221323,132,8221323: [lworld] Javac should support class literals for projection types.,sadayapalam,2020-08-04,2020-08-04,integrated,Oracle,,0,4,52,2
8250962,133,8250962: [lworld] C2 should not replace redundant scalar replaceable allocations,TobiHartmann,2020-08-04,2020-08-04,integrated,Oracle,DE,0,1,8,7
8242453,134,8242453: [lworld] C2 compilation fails with assert 'correct memory chain',TobiHartmann,2020-08-04,2020-08-04,integrated,Oracle,DE,0,5,65,20
8244975,136,8244975: [lworld] Investigate if VM can implement Object::hashCode by calling ValueBootstrapMethods for inline types,MrSimms,2020-08-05,2020-08-11,integrated,Oracle,,6,13,181,189
8251046,137,8251046: [lworld] [lw3] C1 should avoid heap allocations in withfield when possible,fparain,2020-08-05,2020-08-10,integrated,Oracle,,5,6,185,85
8251116,138,8251116: [lworld] test lworld-values/ValuesAsRefs.java failing.,sadayapalam,2020-08-10,2020-08-10,integrated,Oracle,,0,2,2,1
8251107,139,8251107: [lworld] test lworld-values/TopInterfaceNegativeTest.java is failing,sadayapalam,2020-08-10,2020-08-10,integrated,Oracle,,0,1,6,2
,140,[lworld] clean up VarHandle support for inline type,mlchung,2020-08-10,2020-08-10,integrated,Oracle,US,0,1,2,48
8244233,141,8244233: [lworld] Nested types are not handled properly across projections,sadayapalam,2020-08-11,2020-08-11,integrated,Oracle,,0,5,87,2
,142,Merge jdk,MrSimms,2020-08-11,2020-08-11,integrated,Oracle,,0,410,7635,3154
8251398,143,8251398: [lworld] TestCallingConvention::test36 spuriously fails due to incorrect field value,TobiHartmann,2020-08-11,2020-08-11,integrated,Oracle,DE,0,1,42,4
,144,Merge jdk,MrSimms,2020-08-11,2020-08-11,integrated,Oracle,,0,344,5772,4916
