bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8310010,96,8310010: [Lilliput] SA: Fix oop array element alignment,rkennke,2023-06-14,2023-07-17,integrated,Red Hat,CH,33,shipilev
,97,Merge jdk,rkennke,2023-06-14,2023-06-14,integrated|clean,Red Hat,CH,0,shipilev
8310167,98,8310167: [Lilliput] Properly deal with flag mismatch in CDS,shipilev,2023-06-15,2023-06-16,integrated,Amazon,US,1,rkennke
8310214,99,8310214: [Lilliput] Disable compact headers by default,shipilev,2023-06-16,2023-06-19,integrated,Amazon,US,3,rkennke
8310528,100,8310528: [Lilliput] Provide infrastructure for Lilliput-specific ProblemList,shipilev,2023-06-21,2023-06-21,integrated,Amazon,US,0,rkennke
8311875,101,8311875: [Lilliput] Disallow accessing oop metadata vmStructs with +UCOH,shipilev,2023-07-11,2023-07-19,integrated,Amazon,US,8,rkennke
8314130,102,8314130: [Lilliput] Make loadNKlassCompactHeaders not use a TEMP register,rkennke,2023-08-10,2023-08-11,integrated,Red Hat,CH,1,shipilev
,104,Merge jdk,tstuefe,2023-08-15,2023-08-17,integrated|clean,Red Hat,DE,2,
8314863,107,"8314863: [Lilliput] Revert changes in zRelocate, prevent ZGC with Lilliput",rkennke,2023-08-23,2023-08-23,integrated,Red Hat,CH,0,shipilev
8317352,110,8317352: [Lilliput] Sync with upstreaming PRs,rkennke,2023-10-09,2023-10-11,integrated,Red Hat,CH,2,shipilev
8317812,111,8317812: [Lilliput] Make C2 LoadNKlassCompactHeader more robust,rkennke,2023-10-10,2023-10-12,integrated,Red Hat,CH,2,shipilev
8318011,112,8318011: [Lilliput] Fix CDS narrowKlass encoding,rkennke,2023-10-12,2023-10-16,integrated,Red Hat,CH,4,"shipilev,tstuefe"
,113,Merge jdk:jdk-22+19,rkennke,2023-10-17,2023-10-17,integrated,Red Hat,CH,0,
8319135,114,8319135: [Lilliput] Fix objArrayOop gtest,rkennke,2023-10-30,2023-11-01,integrated,Red Hat,CH,2,shipilev
8319524,115,8319524: [Lilliput] Only warn when compact headers are explicitly enabled,rkennke,2023-11-06,2023-11-06,integrated,Red Hat,CH,0,shipilev
8319724,116,8319724: [Lilliput] ParallelGC: Forwarded objects found during heap inspection,rkennke,2023-11-08,2023-11-09,integrated,Red Hat,CH,1,shipilev
,119,Merge jdk:jdk-22+25,rkennke,2023-11-22,2023-11-22,integrated,Red Hat,CH,0,
,120,Merge jdk:jdk-23+1,rkennke,2023-12-13,2023-12-15,integrated,Red Hat,CH,2,
8324523,124,"JDK-8324523: Lilliput: if +UseCOH, always use the archive's encoding base and shift",tstuefe,2024-01-23,2024-01-24,integrated,Red Hat,DE,1,rkennke
8319185,125,8319185: [Lilliput] Enable and fix vectorization tests,rkennke,2024-01-23,2024-01-30,integrated,Red Hat,CH,7,shipilev
,126,Merge jdk:jdk-23+7,rkennke,2024-01-25,2024-01-26,integrated,Red Hat,CH,1,
,130,Merge jdk:jdk-23+8,rkennke,2024-02-06,2024-02-07,integrated|clean,Red Hat,CH,1,
,131,Merge jdk:jdk-23+10,rkennke,2024-02-20,2024-02-21,integrated,Red Hat,CH,1,tstuefe
,133,Merge 18cea823a173e1b8b48d276daeca67b2a5cf3584,xmas92,2024-02-22,2024-02-23,integrated,Oracle,SE,1,
,135,Merge jdk:jdk-23+11,rkennke,2024-02-22,2024-02-23,integrated|clean,Red Hat,CH,1,
,136,Merge lilliput:omworld-jdk,xmas92,2024-02-23,2024-02-27,integrated,Oracle,SE,4,
8326761,138,8326761: Lilliput: OMWorld: Fix invalid markWord transition,xmas92,2024-02-27,2024-02-27,integrated,Oracle,SE,0,rkennke
8326752,139,8326752: Lilliput: OMCache: Add cache lookup unrolling,xmas92,2024-02-27,2024-02-27,integrated,Oracle,SE,0,rkennke
,140,8326753 Lilliput: OMCache: Use AoS,xmas92,2024-02-27,2024-02-28,integrated,Oracle,SE,1,rkennke
8326823,141,8326823: Lilliput: OMWorld: Separate NMT category,rkennke,2024-02-27,2024-02-27,integrated,Red Hat,CH,0,xmas92
,142,Merge jdk:jdk-23+12,rkennke,2024-03-04,2024-03-04,integrated,Red Hat,CH,0,
,143,Merge jdk:jdk-23+12,rkennke,2024-03-05,2024-03-05,integrated,Red Hat,CH,0,
,144,Merge jdk:jdk-23+12,rkennke,2024-03-05,2024-03-07,integrated,Red Hat,CH,2,
8328886,145,JDK-8328886: Lilliput: Build COH archives,tstuefe,2024-03-25,2024-03-26,integrated,Red Hat,DE,1,rkennke
,147,Parallel: fix checks for forwarded objects,stefank,2024-04-19,2024-04-19,integrated,Oracle,SE,0,rkennke
,150,SA: Remove !hasMonitor() assert in getKlass(),stefank,2024-04-19,2024-04-22,integrated,Oracle,SE,3,rkennke
,151,JVMCI: Don't call CompressedKlassPointers functions with -UCCP,stefank,2024-04-22,2024-04-22,integrated,Oracle,SE,0,rkennke
8319185,152,8319185: [Lilliput] Enable and fix vectorization tests,rkennke,2024-04-22,2024-04-23,integrated,Red Hat,CH,1,stefank
