bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,667,8421: Missing Eclipse classpath entry defaults,Suchitainf,2025-07-19,2025-07-21,integrated,Oracle,,2,viragpurnam
,668,8425: Problem importing in Eclipse due to missing awatility 3rd party artifact,skarsaune,2025-07-27,2025-10-14,integrated,,,79,aptmac
,669,8436: Formatting of rule descriptions with manual bullets / line breaks is gone on revisit,aymane-harmaz,2025-09-01,2025-09-15,integrated,,,14,thegreystone
,672,8437: JDP Tests are failing on macOS-15 Github Actions runner due to local network privacy restrictions,aymane-harmaz,2025-09-04,2025-09-05,integrated,,,1,"thegreystone,Suchitainf"
,673,8438: Update the version of JMC to 10.0.0,aymane-harmaz,2025-09-08,2025-09-15,integrated,,,7,thegreystone
,674,5608: Include top stack trace frames in errors and exceptions rules,aymane-harmaz,2025-09-17,2025-09-22,integrated,,,5,thegreystone
,675,8439: ArithmeticException thrown when plotting event count histogram with maxDuration set to 0,aymane-harmaz,2025-09-23,2025-10-08,integrated,,,15,thegreystone
,678,8427: Text getting overlapped on graph of Processes screen,aymane-harmaz,2025-10-10,2025-12-02,integrated,,,53,thegreystone
,679,6004: Should add tenuring summary to the GC visualization,aymane-harmaz,2025-10-17,2025-12-03,integrated,,,47,thegreystone
,681,8451: Should make the Event Type the first column of event types tree table,aymane-harmaz,2025-10-27,2025-12-03,integrated,,,37,thegreystone
,682,8450: Improve usability of selectable action items by supporting keyboard and double-click interactions,aymane-harmaz,2025-10-29,2025-12-03,integrated,,,35,thegreystone
,683,8469: Should make rules and page heading accessible through keyboard in JFR overview page,aymane-harmaz,2025-11-07,2025-12-03,integrated,,,26,thegreystone
,684,8470: Unresolved placeholders shown in JFR result overview's table mode,aymane-harmaz,2025-11-10,2025-12-02,integrated,,,22,Gunde
,685,8335: Duplicate values in tooltip for RSS and RSS (Peak) in memory tab,aymane-harmaz,2025-11-12,2025-12-02,integrated,,,20,Gunde
,687,8474: Eclipse platform upgrade to 2025_09,viragpurnam123,2025-11-24,2025-12-08,integrated,,,14,thegreystone
,688,6832: Should allow plotting line charts for all quantities,aymane-harmaz,2025-11-24,2026-03-12,integrated,,,108,thegreystone
,689,8473: JMC silently connects to its own runtime if target runtime does not include management modules,aymane-harmaz,2025-11-27,2025-12-04,integrated,,,7,thegreystone
,690,8475: Writing events with fields not explicitly set can corrupt the recording,jbachorik,2025-12-03,2026-02-02,integrated,Datadog,CZ,61,thegreystone
,692,8432: Better exception handling for Email Trigger failure,aymane-harmaz,2025-12-08,2026-01-03,integrated,,,26,Gunde
,693,6872: Add butterfly/sandwich view to JMC,thegreystone,2025-12-08,2026-03-05,integrated,Datadog,,87,aptmac
,695,8479: Update jolokia third party for JMC 10.0.0,skarsaune,2025-12-15,2026-01-22,integrated,,,38,Suchitainf
,697,8489: Inaccurate Chinese translations on TLAB page,youngledo,2026-01-01,2026-01-09,integrated,,,8,aptmac
,698,8476: Websocket server is tied to JfrEditor,aptmac,2026-01-07,2026-02-02,integrated,IBM,,26,thegreystone
,700,8512: Fixing various minor typos and nits,thegreystone,2026-01-23,2026-01-29,integrated,Datadog,,6,"aptmac,RealCLanger"
,701,8523: Update version to 9.1.2,Suchitainf,2026-01-28,2026-01-29,integrated,Oracle,,1,thegreystone
,702,8524: Update third parties for 9.1.2,Suchitainf,2026-01-28,2026-01-29,integrated,Oracle,,1,aptmac
,703,8525: Update 9.1 splash copyright year,thegreystone,2026-01-29,2026-01-29,integrated,Datadog,,0,Suchitainf
,704,8527: Add AGENTS.md file,thegreystone,2026-01-29,2026-01-29,integrated,Datadog,,0,aptmac
,705,8526: Update third parties for 10.0.0,Suchitainf,2026-01-29,2026-01-29,integrated,Oracle,,0,aptmac
,706,8528: UI tests fail after platform upgrade,thegreystone,2026-01-30,2026-02-02,integrated,Datadog,,3,aptmac
,707,8531: UI tests fail on Mac OS,thegreystone,2026-02-11,2026-02-16,integrated,Datadog,,5,aptmac
,709,8537: Minor discrepancies between Oracle JMC and Open JMC,Suchitainf,2026-02-16,2026-02-19,integrated,Oracle,,3,aptmac
,710,8543: Minor discrepancies between Oracle JMC and Open JMC,Suchitainf,2026-02-19,2026-02-19,integrated,Oracle,,0,aptmac
,711,"8544: Update third parties OWASP, lz4-java, Radiance, hpcc-js-wasm, Font Awesome and ASM",Suchitainf,2026-03-04,2026-03-11,integrated,Oracle,,7,thegreystone
