bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,118,Improved classpath matching,rvansa,2023-09-26,2023-09-29,integrated,Azul,,3,AntonKozlov
,119,Drop perfdata and cppath,rvansa,2023-09-27,2023-10-23,integrated,Azul,,26,AntonKozlov
,120,Fix compilation error on OSX,jankratochvil,2023-09-29,2023-09-29,integrated,Azul,,0,rvansa
,121,Fix OSX x86_64 CRaC crash,jankratochvil,2023-09-29,2023-10-02,integrated,Azul,,3,rvansa
,122,Fix compilation with clang,jankratochvil,2023-10-05,2023-10-06,integrated,Azul,,1,rvansa
,123,Fix OSX failure in SunMiscSignalTest,rvansa,2023-10-06,2023-11-16,integrated,Azul,,41,"wkia,AntonKozlov"
,124,Handle C/R in BasicImageReader (via reflection),rvansa,2023-10-06,2023-11-16,integrated,Azul,,41,AntonKozlov
,125,Stabilize GHA testsuite,rvansa,2023-10-06,2023-11-16,integrated,Azul,,41,AntonKozlov
,126,"Update the ""modified criu"" link to the latest release",pushkarnk,2023-10-16,2023-10-17,integrated,,,1,rvansa
,127,-XX:+ShowCPUFeatures: Fix double 0x (0x0x),jankratochvil,2023-10-16,2023-10-17,integrated,Azul,,1,rvansa
,128,Fix test when running as root,rvansa,2023-10-17,2023-11-16,integrated,Azul,,30,AntonKozlov
,129,Fixing crash on restore when user name is not set,wkia,2023-10-17,2023-10-18,integrated,Azul,,1,rvansa
,130,Reset JVM start time and up time on restore (CRaCResetStartTime),wkia,2023-10-17,2023-10-24,integrated,Azul,,7,rvansa
,135,Changing CRaCResetStartTime flag defaults,wkia,2023-10-27,2023-11-09,integrated,Azul,,13,AntonKozlov
,136,Remove INCLUDE_LD_SO_LIST_DIAGNOSTICS,jankratochvil,2023-10-31,2023-11-10,integrated,Azul,,10,rvansa
,137,Ignore open files in /var/lib/sss/mc,rvansa,2023-11-02,2023-11-09,integrated,Azul,,7,AntonKozlov
,138,Fix Windows build of Decoder,rvansa,2023-11-09,2023-11-16,integrated,Azul,,7,AntonKozlov
,139,GLIBC->CPU flags optimization,jankratochvil,2023-11-10,2024-03-28,integrated,Azul,,139,rvansa
,140,More robust classpath parsing,rvansa,2023-11-15,2023-11-23,integrated,Azul,,8,"wkia,AntonKozlov"
,142,Print additional info for socket which still opened on checkpoint,wkia,2023-11-21,2023-11-22,integrated,Azul,,1,rvansa
,144,Adjusting CRaC tests,wkia,2023-11-22,2023-12-22,integrated,Azul,,30,rvansa
8321660,148,8321660: [CRaC] Trim native heap before checkpoint to decrease image size,simonis,2023-12-10,2023-12-13,integrated,Amazon,DE,3,rvansa
8328344,153,8328344: [CRaC] Avoid error when running with -XX:+PerfDisableSharedMem,simonis,2024-03-18,2024-03-28,integrated,Amazon,DE,10,AntonKozlov
,155,Portable C/R,TimPushkin,2024-06-04,2024-07-11,integrated,Azul,,37,AntonKozlov
,157,Merge jdk17u:jdk-17.0.12+7,rvansa,2024-08-30,2024-12-06,integrated,Azul,,98,AntonKozlov
8346907,158,8346907: [CRaC] Print RESTORE_SETTABLE marker,jankratochvil,2024-11-07,2025-01-07,integrated,Azul,,61,"TimPushkin,rvansa"
,160,Merge jdk:jdk-24+20,dimitryc,2024-12-05,2024-12-06,integrated,,,1,rvansa
8346178,161,8346178: [CRaC] Failure in com/sun/management/DiagnosticCommandMBean/DcmdMBeanPermissionsTest.java,TimPushkin,2024-12-13,2024-12-17,integrated,Azul,,4,rvansa
8346387,163,8346387: [CRaC] Add --with-criu configure option,TimPushkin,2024-12-17,2024-12-17,integrated,Azul,,0,rvansa
8346386,164,8346386: [CRaC] Move CRaC’s Java code out of restricted packages,TimPushkin,2024-12-17,2024-12-20,integrated,Azul,,3,rvansa
,165,Merge jdk:jdk-24+21,dimitryc,2024-12-17,2024-12-19,integrated,,,2,rvansa
8346765,166,8346765: [CRaC] Could not find criuengine on Windows and Mac,TimPushkin,2024-12-23,2024-12-23,integrated,Azul,,0,rvansa
8346766,167,8346766: [CRaC] tools/launcher/HelpFlagsTest.java and tools/launcher/VersionCheck.java tests fail on Windows,TimPushkin,2024-12-23,2024-12-23,integrated,Azul,,0,rvansa
8346768,168,8346768: [CRaC] Ignore errors parsing classpath,TimPushkin,2024-12-23,2024-12-30,integrated,Azul,,7,rvansa
8346796,169,8346796: [CRaC] Initialize clock before restore on Mac,TimPushkin,2024-12-24,2024-12-30,integrated,Azul,,6,AntonKozlov
,170,Merge jdk:jdk-24+22,dimitryc,2025-01-03,2025-01-03,integrated,,,0,AntonKozlov
8347055,171,8347055: [CRaC] Remote JMX support,TimPushkin,2025-01-06,2025-01-06,integrated,Azul,,0,rvansa
8347056,172,8347056: [CRaC] Propagating CRaC events to JVMTI agents,TimPushkin,2025-01-06,2025-01-06,integrated,Azul,,0,rvansa
8347060,173,8347060: [CRaC] Some tests cannot run in parallel,TimPushkin,2025-01-07,2025-01-07,integrated,Azul,,0,rvansa
