bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,511,Add SSA id dependency viewer tool + DotViewer infra,grfrost,2025-08-02,2025-08-02,integrated,Oracle,,0,
,512,Document quoteOp and quotedOp methods,mabbay,2025-08-05,2025-08-27,integrated,Oracle,,22,PaulSandoz
,513,New example suite for code reflection,jjfumero,2025-08-06,2025-08-12,integrated,Oracle,,6,PaulSandoz
,514,HAT simplify tool text styling,grfrost,2025-08-07,2025-08-07,integrated,Oracle,,0,
,516,"[hat][proposal] ComputeRange and ThreadMesh API for defining 1D, 2D and 3D Ranges",jjfumero,2025-08-08,2025-08-14,integrated,Oracle,,6,
,519,[fix][hat] Codegen fixed when passing the kernel context to multiple invoke functions,jjfumero,2025-08-12,2025-08-12,integrated,Oracle,,0,
,520,HAT remove trailing  eol ws from pom.xml files,grfrost,2025-08-12,2025-08-12,integrated,Oracle,,0,
,521,Minor logging changes for HAT ModuleOp support,rbrchen,2025-08-12,2025-08-13,integrated,,,1,
,522,Added an experiment to investigate Quoted Constant Args,grfrost,2025-08-13,2025-08-13,integrated,Oracle,,0,
,523,Added more quoted experiments,grfrost,2025-08-13,2025-08-13,integrated,Oracle,,0,
,524,Fix interpreter arg checking,PaulSandoz,2025-08-13,2025-08-13,integrated,Oracle,,0,
,525,Expand the example suite with Inlining and Bytecode generation,jjfumero,2025-08-14,2025-08-14,integrated,Oracle,,0,
,526,Use existing code for creating KernelContext_s from its iface buffer schema,grfrost,2025-08-17,2025-08-17,integrated,Oracle,,0,
,527,[hat][proposal] Adding notion of local thread ids and local group sizes int HAT,jjfumero,2025-08-18,2025-08-19,integrated,Oracle,,1,
,528,[samples] Apply type conversion for the int-shift function after the new result op has been built,jjfumero,2025-08-20,2025-08-20,integrated,Oracle,,0,
,529,Rearrange lowering.,PaulSandoz,2025-08-21,2025-08-22,integrated,Oracle,,1,
,530,Stop intellij red-squiggling lambda parms called value,grfrost,2025-08-22,2025-08-22,integrated,Oracle,,0,
,531,[proposal][hat] Enabling local/shared memory and local barriers within compute methods,jjfumero,2025-08-22,2025-09-04,integrated,Oracle,,13,
,532,Fix lambda bugs,mabbay,2025-08-25,2025-08-29,integrated,Oracle,,4,PaulSandoz
