jep_number,title,status,target_version,owner
363,Remove the Concurrent Mark Sweep (CMS) Garbage Collector,Closed / Delivered,14,Thomas Schatzl
364,ZGC on macOS (Experimental),Closed / Delivered,14,Erik Österlund
365,ZGC on Windows (Experimental),Closed / Delivered,14,Stefan Karlsson
366,Deprecate the ParallelScavenge + SerialOld GC Combination,Closed / Delivered,14,Thomas Schatzl
367,Remove the Pack200 Tools and API,Closed / Delivered,14,Vicente Arturo Romero Zaldivar
368,Text Blocks (Second Preview),Closed / Delivered,14,Jim Laskey
369,Migrate to GitHub,Closed / Delivered,16,Joe Darcy
370,Foreign-Memory Access API (Incubator),Closed / Delivered,14,Maurizio Cimadamore
371,Hidden Classes,Closed / Delivered,15,Mandy Chung
372,Remove the Nashorn JavaScript Engine,Closed / Delivered,15,Jim Laskey
373,Reimplement the Legacy DatagramSocket API,Closed / Delivered,15,Daniel Fuchs
374,Deprecate and Disable Biased Locking,Closed / Delivered,15,Patricio Chilano Mateo
375,Pattern Matching for instanceof (Second Preview),Closed / Delivered,15,Jan Lahoda
376,ZGC: Concurrent Thread-Stack Processing,Closed / Delivered,16,Erik Österlund
377,ZGC: A Scalable Low-Latency Garbage Collector (Production),Closed / Delivered,15,Per Liden
378,Text Blocks,Closed / Delivered,15,Jim Laskey
379,Shenandoah: A Low-Pause-Time Garbage Collector (Production),Closed / Delivered,15,Aleksey Shipilev
380,Unix-Domain Socket Channels,Closed / Delivered,16,Michael McMahon
381,Remove the Solaris and SPARC Ports,Closed / Delivered,15,Mikael Vidstedt
382,New macOS Rendering Pipeline,Closed / Delivered,17,Philip Race
383,Foreign-Memory Access API (Second Incubator),Closed / Delivered,15,Maurizio Cimadamore
384,Records (Second Preview),Closed / Delivered,15,Vicente Arturo Romero Zaldivar
385,Deprecate RMI Activation for Removal,Closed / Delivered,15,Stuart Marks
386,Alpine Linux Port,Closed / Delivered,16,Boris Ulasevich
387,Elastic Metaspace,Closed / Delivered,16,Thomas Stuefe
388,Windows/AArch64 Port,Closed / Delivered,16,Vladimir Kozlov
389,Foreign Linker API (Incubator),Closed / Delivered,16,Maurizio Cimadamore
390,Warnings for Value-Based Classes,Closed / Delivered,16,Dan Smith
391,macOS/AArch64 Port,Closed / Delivered,17,Vladimir Kempik
392,Packaging Tool,Closed / Delivered,16,Andy Herrick
393,Foreign-Memory Access API (Third Incubator),Closed / Delivered,16,Maurizio Cimadamore
394,Pattern Matching for instanceof,Closed / Delivered,16,Gavin Bierman
395,Records,Closed / Delivered,16,Gavin Bierman
396,Strongly Encapsulate JDK Internals by Default,Closed / Delivered,16,Mark Reinhold
397,Sealed Classes (Second Preview),Closed / Delivered,16,Gavin Bierman
398,Deprecate the Applet API for Removal,Closed / Delivered,17,Andy Herrick
399,Intermediate-Representation Graph Serialization,Candidate,,Igor Ignatyev
400,UTF-8 by Default,Closed / Delivered,18,Naoto Sato
401,Value Classes and Objects (Preview),Submitted,,Dan Smith
402,Enhanced Primitive Boxing (Preview),Draft,,Dan Smith
