username,full_name,jdk_role,other_projects
kcr,Kevin Rushforth,Author,
kdnilsen,Kelvin Nilsen,Reviewer,
kevinw,Kevin Walls,Reviewer,"hotspot: Member, serviceability: Member"
kfarrell,Kieran Farrell,Author,
khazra,Kurchi Subhra Hazra,Committer,
kkharbas,Kishor Kharbas,Author,
kizune,Alexander Zuev,Reviewer,client-libs: Member
kmo,Krystal Mo,Committer,
korov,Lei Zhu,Author,
kravikumar,Kiran Sidhartha Ravikumar,Committer,
krk,Kerem Kat,Author,
kshefov,Konstantin Shefov,Committer,
ksrini,Kumar Srinivasan,Reviewer,compiler: Member
kthirupattur,Koushik Thirupattur,Author,
kvn,Vladimir Kozlov,Reviewer,"aarch64-port: Committer, galahad: Reviewer, graal: Author, hotspot: Lead"
kwang,Kun Wang,Author,
kwei,Kuai Wei,Author,
kzhaldyb,Kirill Zhaldybin,Reviewer,
lagergren,Marcus Lagergren,Reviewer,
lana,Lana Steuck,Reviewer,
lancea,Lance Andersen,Reviewer,core-libs: Member
lbourges,Laurent Bourges,Committer,client-libs: Member
leder,Lukas Eder,Author,
leiz,Lei Zaakjyu,Author,
leonidr,Leonid Romanov,Committer,
lfoltan,Lois Foltan,Reviewer,"amber: Committer, galahad: Committer, hotspot: Member"
liach,Chen Liang,Reviewer,
linade,Yude Lin,Author,
littlee,Charles Lee,Committer,
lkorinth,Leo Korinth,Reviewer,hotspot: Member
lliu,Liming Liu,Author,
lmesnik,Leonid Mesnik,Reviewer,serviceability: Member
lpriima,Lev Priima,Author,
luchsh,Jonathan Lu,Committer,
lucy,Lutz Schmidt,Reviewer,
luoziyi,Ziyi Luo,Author,
lyang,Long Yang,Author,
mabbay,Mourad Abbay,Author,
mablakatov,Mikhail Ablakatov,Author,
macarte,Mat Carter,Author,vulnerability: Member
malenkov,Sergey Malenkov,Reviewer,
marchof,Marc R. Hoffmann,Author,
mariasde,Maria Arias de Reyna Dominguez,Committer,
markt,Mark Thomas,Author,
martin,Martin Buchholz,Reviewer,core-libs: Member
matsaave,Matias Saavedra Silva,Reviewer,
mbaesken,Matthias Baesken,Reviewer,"build: Member, vulnerability: Member"
mbalao,Martin Balao Alonso,Reviewer,security: Member
mbankal,Mala Bankal,Author,
mbeckwit,Monica Beckwith,Author,
mbijman,Matthijs Bijman,Author,
mbollapragad,Maheshkumar Bollapragada,Author,
mbrandy,Matthew Brandyberry,Author,
mcberg,Michael Berg,Committer,
mcherkas,Mikhail Cherkasov,Committer,
mchinnathamb,Muthusamy Chinnathambi,Author,
mchernov,Michail Chernov,Committer,
mchung,Mandy Chung,Reviewer,"core-libs: Member, galahad: Committer, hotspot: Member, serviceability: Member"
mcimadamore,Maurizio Cimadamore,Reviewer,"amber: Reviewer, brisbane: Reviewer, code-tools: Reviewer, compiler: Lead, core-libs: Member, detroit: Committer, ide-support: Lead"
mdoerr,Martin Doerr,Reviewer,hotspot: Member
mduigou,Mike Duigou,Reviewer,core-libs: Member
mfang,Michael Fang,Committer,i18n: Member
mgerdin,Mikael Gerdin,Reviewer,hotspot: Member
mgkwill,Marcus G K Williams,Author,
mgrigorov,Martin Grigorov,Author,
mgronlun,Markus Gronlund,Reviewer,hotspot: Member
mhalder,Manajit Halder,Committer,
mhaupt,Michael Haupt,Reviewer,
michaelm,Michael McMahon,Reviewer,"core-libs: Member, net: Lead"
mikael,Mikael Vidstedt,Reviewer,hotspot: Member
minqi,Yumin Qi,Reviewer,hotspot: Member
missa,Mohamed Issa,Author,
mkarg,Markus KARG,Author,
mkariya,Mitsuru Kariya,Author,
mkos,Miroslav Kos,Committer,
mlarsson,Marcus Larsson,Reviewer,
mli,Hamlin Li,Reviewer,
mmimica,Milan Mimica,Author,
mnunez,Matherey Nunez,Author,
mockner,Max Ockner,Committer,
morris,Morris Meyer,Committer,
mrkam,Alexander Kouznetsov,Committer,
mseledtsov,Mikhailo Seledtsov,Committer,
msheppar,Mark Sheppard,Reviewer,
msobierski,Michal Sobierski,Author,
mtobiass,Mattias Tobiasson,Author,
mullan,Sean Mullan,Reviewer,"brisbane: Reviewer, security: Lead"
mvala,Michal Vala,Author,
mwalsh,Martin Walsh,Author,
mzheng,Miao Zheng,Author,
naoto,Naoto Sato,Reviewer,"core-libs: Member, i18n: Lead"
nbenalla,Nizar Benalla,Reviewer,
neliasso,Nils Eliasson,Reviewer,
neugens,Mario Torre,Reviewer,adoption: Member
never,Tom Rodriguez,Reviewer,"galahad: Reviewer, graal: Committer, hotspot: Member"
ngasson,Nick Gasson,Reviewer,
ngmr,Neil Richards,Committer,
ngrcevski,Nikola Grcevski,Author,
ngthomas,Thomas Ng,Reviewer,
ngubarkov,Nikita Gubarkov,Author,
nishjain,Nishit Jain,Committer,i18n: Member
njoshi,Neha Joshi,Author,
nloodin,Nils Loodin,Committer,
nnanivadekar,Nikhil Nanivadekar,Author,
nnguyen,Nhat Nguyen,Author,
nprasad,Neethu Prasad,Author,
nradomski,Niklas Radomski,Author,
nrai,Nityanand Rai,Author,
ntoda,Neil Toda,Author,
ntv,Nadeesh TV,Committer,
nwilliams,Nicolas Williams,Author,
ogillespie,Oli Gillespie,Author,
ohair,Kelly O'Hair,Reviewer,"build: Member, serviceability: Member"
ohrstrom,Fredrik Ohrstrom,Committer,
okutsu,Masayoshi Okutsu,Reviewer,i18n: Member
olagneau,Olivier Lagneau,Author,
omajid,Omair Majid,Reviewer,
omikhaltcova,Olga Mikhaltsova,Committer,
osakamoto,Osamu Sakamoto,Author,
pbansal,Pankaj Bansal,Reviewer,client-libs: Member
pbhat,Pranav Bhat,Author,
pchelko,Petr Pchelko,Reviewer,
pchistyakov,Pavel Chistyakov,Author,
pchilanomate,Patricio Chilano Mateo,Reviewer,hotspot: Member
pchopra,Pooja Chopra,Author,
peytoia,Yuka Kamiya,Reviewer,i18n: Member
pgovereau,Paul Govereau,Committer,
